2021 NSS results split by teaching provider,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size
10001000,Burnley College,Q19,14%,21%,14%,36%,14%,0,25%,50%,75%,14,28
10001000,Burnley College,Q20,14%,0%,21%,57%,7%,0,36%,64%,85%,14,28
10001000,Burnley College,Scale06,12%,12%,24%,43%,10%,0,27%,52%,77%,14,28
10001000,Burnley College,Q21,14%,21%,21%,29%,14%,0,20%,43%,70%,14,28
10001000,Burnley College,Q22,14%,14%,14%,50%,7%,0,30%,57%,80%,14,28
10001000,Burnley College,Scale07,14%,18%,18%,39%,11%,0,25%,50%,75%,14,28
10001000,Burnley College,Q23,0%,7%,21%,43%,29%,0,43%,71%,89%,14,28
10001000,Burnley College,Q24,7%,7%,36%,29%,21%,0,25%,50%,75%,14,28
10001000,Burnley College,Q25,7%,14%,36%,29%,14%,0,20%,43%,70%,14,28
10001000,Burnley College,Scale08,5%,10%,31%,33%,21%,0,29%,55%,79%,14,28
10001000,Burnley College,Q26,0%,14%,43%,29%,14%,0,20%,43%,70%,14,28
10001000,Burnley College,Q27,14%,0%,14%,43%,29%,0,43%,71%,89%,14,28
10001004,Burton and South Derbyshire College,Q01,0%,2%,7%,38%,53%,0,78%,91%,97%,45,51
10001004,Burton and South Derbyshire College,Q02,0%,0%,4%,42%,53%,0,84%,96%,99%,45,51
10001004,Burton and South Derbyshire College,Q03,0%,0%,4%,42%,53%,0,84%,96%,99%,45,51
10001004,Burton and South Derbyshire College,Q04,0%,0%,2%,40%,58%,0,87%,98%,100%,45,51
10001004,Burton and South Derbyshire College,Scale01,0%,1%,4%,41%,54%,0,83%,95%,99%,45,51
10001004,Burton and South Derbyshire College,Q05,0%,0%,4%,33%,62%,0,84%,96%,99%,45,51
10001004,Burton and South Derbyshire College,Q06,0%,0%,4%,40%,56%,0,84%,96%,99%,45,51
10001004,Burton and South Derbyshire College,Q07,0%,0%,4%,31%,64%,0,84%,96%,99%,45,51
10001004,Burton and South Derbyshire College,Scale02,0%,0%,4%,35%,61%,0,84%,96%,99%,45,51
10001004,Burton and South Derbyshire College,Q08,0%,2%,13%,31%,53%,0,70%,84%,93%,45,51
10001004,Burton and South Derbyshire College,Q09,0%,2%,2%,40%,56%,0,84%,96%,99%,45,51
10001004,Burton and South Derbyshire College,Q10,0%,0%,7%,33%,60%,0,81%,93%,98%,45,51
10001004,Burton and South Derbyshire College,Q11,0%,2%,2%,36%,60%,0,84%,96%,99%,45,51
10001004,Burton and South Derbyshire College,Scale03,0%,2%,6%,35%,57%,0,79%,92%,97%,45,51
10001004,Burton and South Derbyshire College,Q12,0%,2%,9%,20%,69%,0,75%,89%,96%,45,51
10001004,Burton and South Derbyshire College,Q13,0%,0%,4%,47%,49%,0,84%,96%,99%,45,51
10001004,Burton and South Derbyshire College,Q14,0%,0%,2%,36%,62%,0,87%,98%,100%,45,51
10001004,Burton and South Derbyshire College,Scale04,0%,1%,5%,34%,60%,0,82%,94%,98%,45,51
10001004,Burton and South Derbyshire College,Q15,0%,2%,9%,40%,49%,0,75%,89%,96%,45,51
10001004,Burton and South Derbyshire College,Q16,0%,0%,9%,42%,49%,0,78%,91%,97%,45,51
10001004,Burton and South Derbyshire College,Q17,0%,5%,2%,35%,58%,2,80%,93%,98%,43,51
10001004,Burton and South Derbyshire College,Scale05,0%,2%,7%,39%,51%,2,77%,91%,97%,45,51
10001004,Burton and South Derbyshire College,Q18,0%,0%,7%,49%,44%,2,80%,93%,98%,43,51
10001004,Burton and South Derbyshire College,Q19,2%,0%,13%,44%,40%,0,70%,84%,93%,45,51
10001004,Burton and South Derbyshire College,Q20,0%,2%,18%,33%,47%,0,65%,80%,90%,45,51
10001004,Burton and South Derbyshire College,Scale06,1%,1%,13%,42%,44%,2,71%,86%,94%,45,51
10001004,Burton and South Derbyshire College,Q21,2%,9%,16%,24%,49%,0,57%,73%,85%,45,51
10001004,Burton and South Derbyshire College,Q22,0%,0%,13%,44%,42%,0,72%,87%,94%,45,51
10001004,Burton and South Derbyshire College,Scale07,1%,4%,14%,34%,46%,0,65%,80%,90%,45,51
10001004,Burton and South Derbyshire College,Q23,0%,0%,16%,36%,49%,0,70%,84%,93%,45,51
10001004,Burton and South Derbyshire College,Q24,0%,0%,7%,36%,58%,0,81%,93%,98%,45,51
10001004,Burton and South Derbyshire College,Q25,0%,2%,22%,38%,38%,0,60%,76%,87%,45,51
10001004,Burton and South Derbyshire College,Scale08,0%,1%,15%,36%,48%,0,70%,84%,93%,45,51
10001004,Burton and South Derbyshire College,Q26,0%,3%,30%,48%,20%,5,50%,68%,81%,40,51
10001004,Burton and South Derbyshire College,Q27,0%,0%,2%,36%,62%,0,87%,98%,100%,45,51
10001005,Bury College,Q01,3%,4%,7%,58%,29%,0,75%,86%,93%,73,81
10001005,Bury College,Q02,1%,8%,16%,41%,33%,0,62%,74%,83%,73,81
10001005,Bury College,Q03,1%,1%,22%,45%,30%,0,63%,75%,85%,73,81
10001005,Bury College,Q04,3%,4%,14%,42%,38%,1,67%,79%,88%,72,81
10001005,Bury College,Scale01,2%,4%,15%,46%,32%,1,67%,79%,87%,73,81
10001005,Bury College,Q05,1%,0%,13%,51%,35%,1,75%,86%,93%,72,81
10001005,Bury College,Q06,0%,4%,10%,49%,37%,0,75%,86%,93%,73,81
10001005,Bury College,Q07,1%,3%,19%,36%,41%,0,65%,77%,86%,73,81
10001005,Bury College,Scale02,1%,3%,14%,45%,37%,1,71%,83%,90%,73,81
10001005,Bury College,Q08,8%,5%,8%,37%,41%,0,66%,78%,87%,73,81
10001005,Bury College,Q09,4%,4%,12%,37%,42%,0,68%,79%,88%,73,81
10001005,Bury College,Q10,8%,5%,11%,32%,44%,0,63%,75%,85%,73,81
10001005,Bury College,Q11,1%,1%,16%,34%,47%,0,69%,81%,89%,73,81
10001005,Bury College,Scale03,5%,4%,12%,35%,43%,0,66%,78%,87%,73,81
10001005,Bury College,Q12,0%,11%,11%,21%,58%,0,66%,78%,87%,73,81
10001005,Bury College,Q13,3%,1%,21%,38%,37%,0,63%,75%,85%,73,81
10001005,Bury College,Q14,3%,1%,19%,38%,38%,0,65%,77%,86%,73,81
10001005,Bury College,Scale04,2%,5%,17%,32%,44%,0,65%,77%,86%,73,81
10001005,Bury College,Q15,11%,7%,22%,37%,23%,0,48%,60%,72%,73,81
10001005,Bury College,Q16,3%,3%,14%,42%,38%,0,69%,81%,89%,73,81
10001005,Bury College,Q17,7%,10%,14%,32%,38%,0,57%,70%,80%,73,81
10001005,Bury College,Scale05,7%,6%,16%,37%,33%,0,58%,70%,80%,73,81
10001005,Bury College,Q18,7%,10%,25%,41%,18%,0,46%,59%,70%,73,81
10001005,Bury College,Q19,11%,10%,21%,36%,23%,0,46%,59%,70%,73,81
10001005,Bury College,Q20,4%,15%,19%,39%,22%,1,48%,61%,73%,72,81
10001005,Bury College,Scale06,7%,11%,22%,39%,21%,1,47%,60%,71%,73,81
10001005,Bury College,Q21,4%,7%,18%,38%,33%,0,59%,71%,81%,73,81
10001005,Bury College,Q22,4%,3%,14%,47%,33%,0,68%,79%,88%,73,81
10001005,Bury College,Scale07,4%,5%,16%,42%,33%,0,63%,75%,85%,73,81
10001005,Bury College,Q23,5%,10%,11%,37%,37%,0,62%,74%,83%,73,81
10001005,Bury College,Q24,4%,5%,15%,30%,45%,0,63%,75%,85%,73,81
10001005,Bury College,Q25,8%,10%,26%,30%,26%,0,44%,56%,68%,73,81
10001005,Bury College,Scale08,6%,8%,17%,32%,36%,0,56%,68%,79%,73,81
10001005,Bury College,Q26,3%,4%,45%,29%,19%,4,35%,48%,61%,69,81
10001005,Bury College,Q27,5%,5%,16%,42%,30%,0,60%,73%,82%,73,81
10001093,Calderdale College,Q01,0%,0%,9%,29%,63%,0,76%,91%,97%,35,56
10001093,Calderdale College,Q02,3%,3%,6%,37%,51%,0,72%,89%,96%,35,56
10001093,Calderdale College,Q03,3%,3%,6%,34%,54%,0,72%,89%,96%,35,56
10001093,Calderdale College,Q04,3%,3%,11%,26%,57%,0,65%,83%,93%,35,56
10001093,Calderdale College,Scale01,2%,2%,8%,31%,56%,0,71%,88%,95%,35,56
10001093,Calderdale College,Q05,6%,3%,3%,17%,71%,0,72%,89%,96%,35,56
10001093,Calderdale College,Q06,3%,3%,3%,23%,69%,0,76%,91%,97%,35,56
10001093,Calderdale College,Q07,6%,0%,6%,23%,66%,0,72%,89%,96%,35,56
10001093,Calderdale College,Scale02,5%,2%,4%,21%,69%,0,73%,90%,96%,35,56
10001093,Calderdale College,Q08,0%,9%,6%,40%,46%,0,69%,86%,94%,35,56
10001093,Calderdale College,Q09,6%,0%,3%,31%,60%,0,76%,91%,97%,35,56
10001093,Calderdale College,Q10,3%,0%,6%,26%,66%,0,76%,91%,97%,35,56
10001093,Calderdale College,Q11,3%,3%,6%,20%,69%,0,72%,89%,96%,35,56
10001093,Calderdale College,Scale03,3%,3%,5%,29%,60%,0,73%,89%,96%,35,56
10001093,Calderdale College,Q12,0%,0%,0%,37%,63%,0,88%,100%,100%,35,56
10001093,Calderdale College,Q13,3%,3%,3%,37%,54%,0,76%,91%,97%,35,56
10001093,Calderdale College,Q14,0%,6%,9%,29%,57%,0,69%,86%,94%,35,56
10001093,Calderdale College,Scale04,1%,3%,4%,34%,58%,0,77%,92%,98%,35,56
10001093,Calderdale College,Q15,9%,3%,9%,34%,46%,0,62%,80%,91%,35,56
10001093,Calderdale College,Q16,6%,0%,6%,34%,54%,0,72%,89%,96%,35,56
10001093,Calderdale College,Q17,6%,3%,11%,37%,43%,0,62%,80%,91%,35,56
10001093,Calderdale College,Scale05,7%,2%,9%,35%,48%,0,65%,83%,93%,35,56
10001093,Calderdale College,Q18,6%,9%,12%,36%,36%,2,54%,73%,86%,33,56
10001093,Calderdale College,Q19,7%,7%,13%,37%,37%,5,54%,73%,87%,30,56
10001093,Calderdale College,Q20,6%,6%,12%,44%,32%,1,58%,76%,88%,34,56
10001093,Calderdale College,Scale06,7%,10%,11%,37%,34%,8,53%,71%,85%,35,56
10001093,Calderdale College,Q21,6%,3%,11%,37%,43%,0,62%,80%,91%,35,56
10001093,Calderdale College,Q22,3%,3%,15%,32%,47%,1,61%,79%,90%,34,56
10001093,Calderdale College,Scale07,4%,3%,13%,34%,46%,1,62%,80%,91%,35,56
10001093,Calderdale College,Q23,0%,6%,11%,40%,43%,0,65%,83%,93%,35,56
10001093,Calderdale College,Q24,3%,3%,0%,34%,60%,0,79%,94%,99%,35,56
10001093,Calderdale College,Q25,6%,3%,9%,35%,47%,1,65%,82%,92%,34,56
10001093,Calderdale College,Scale08,3%,4%,7%,37%,50%,1,70%,87%,95%,35,56
10001093,Calderdale College,Q26,0%,4%,26%,37%,33%,8,49%,70%,85%,27,56
10001093,Calderdale College,Q27,9%,0%,3%,24%,65%,1,71%,88%,96%,34,56
10041295,Coleg Cambria,Q01,0%,9%,0%,45%,45%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Q02,0%,0%,9%,45%,45%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Q03,0%,9%,0%,36%,55%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Q04,0%,0%,18%,27%,55%,0,49%,82%,95%,11,20
10041295,Coleg Cambria,Scale01,0%,5%,7%,39%,50%,0,56%,89%,98%,11,20
10041295,Coleg Cambria,Q05,0%,0%,9%,64%,27%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Q06,0%,0%,9%,64%,27%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Q07,0%,0%,0%,64%,36%,0,70%,100%,100%,11,20
10041295,Coleg Cambria,Scale02,0%,0%,6%,64%,30%,0,62%,94%,99%,11,20
10041295,Coleg Cambria,Q08,9%,0%,9%,36%,45%,0,49%,82%,95%,11,20
10041295,Coleg Cambria,Q09,0%,0%,9%,45%,45%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Q10,9%,9%,27%,27%,27%,0,26%,55%,80%,11,20
10041295,Coleg Cambria,Q11,0%,0%,0%,45%,55%,0,70%,100%,100%,11,20
10041295,Coleg Cambria,Scale03,5%,2%,11%,39%,43%,0,49%,82%,95%,11,20
10041295,Coleg Cambria,Q12,0%,0%,0%,18%,82%,0,70%,100%,100%,11,20
10041295,Coleg Cambria,Q13,0%,0%,0%,45%,55%,0,70%,100%,100%,11,20
10041295,Coleg Cambria,Q14,0%,0%,9%,45%,45%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Scale04,0%,0%,3%,36%,61%,0,66%,97%,100%,11,20
10041295,Coleg Cambria,Q15,9%,0%,9%,64%,18%,0,49%,82%,95%,11,20
10041295,Coleg Cambria,Q16,0%,0%,9%,36%,55%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Q17,0%,0%,9%,45%,45%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Scale05,3%,0%,9%,48%,39%,0,55%,88%,98%,11,20
10041295,Coleg Cambria,Q18,0%,0%,36%,45%,18%,0,33%,64%,86%,11,20
10041295,Coleg Cambria,Q19,0%,0%,27%,45%,27%,0,41%,73%,91%,11,20
10041295,Coleg Cambria,Q20,0%,0%,9%,45%,45%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Scale06,0%,0%,24%,45%,30%,0,43%,76%,93%,11,20
10041295,Coleg Cambria,Q21,0%,9%,0%,64%,27%,0,59%,91%,99%,11,20
10041295,Coleg Cambria,Q22,9%,0%,9%,27%,55%,0,49%,82%,95%,11,20
10041295,Coleg Cambria,Scale07,5%,5%,5%,45%,41%,0,54%,86%,97%,11,20
10041295,Coleg Cambria,Q23,9%,0%,18%,45%,27%,0,41%,73%,91%,11,20
10041295,Coleg Cambria,Q24,18%,0%,18%,36%,27%,0,33%,64%,86%,11,20
10041295,Coleg Cambria,Q25,0%,18%,9%,45%,27%,0,41%,73%,91%,11,20
10041295,Coleg Cambria,Scale08,9%,6%,15%,42%,27%,0,38%,70%,90%,11,20
10041295,Coleg Cambria,Q26,0%,10%,30%,50%,10%,1,29%,60%,85%,10,20
10041295,Coleg Cambria,Q27,0%,9%,0%,36%,55%,0,59%,91%,99%,11,20
10010308,Cambridge Arts & Sciences Limited,Q01,0%,0%,7%,60%,33%,0,67%,93%,99%,15,16
10010308,Cambridge Arts & Sciences Limited,Q02,0%,0%,7%,53%,40%,0,67%,93%,99%,15,16
10010308,Cambridge Arts & Sciences Limited,Q03,7%,0%,7%,47%,40%,0,59%,87%,97%,15,16
10010308,Cambridge Arts & Sciences Limited,Q04,0%,0%,0%,27%,73%,0,76%,100%,100%,15,16
10010308,Cambridge Arts & Sciences Limited,Scale01,2%,0%,5%,47%,47%,0,67%,93%,99%,15,16
10010308,Cambridge Arts & Sciences Limited,Q05,0%,7%,7%,47%,40%,0,59%,87%,97%,15,16
10010308,Cambridge Arts & Sciences Limited,Q06,0%,0%,7%,53%,40%,0,67%,93%,99%,15,16
10010308,Cambridge Arts & Sciences Limited,Q07,13%,0%,0%,53%,33%,0,59%,87%,97%,15,16
10010308,Cambridge Arts & Sciences Limited,Scale02,4%,2%,4%,51%,38%,0,62%,89%,98%,15,16
10010308,Cambridge Arts & Sciences Limited,Q08,7%,0%,20%,33%,40%,0,45%,73%,90%,15,16
10010308,Cambridge Arts & Sciences Limited,Q09,7%,0%,7%,33%,53%,0,59%,87%,97%,15,16
10010308,Cambridge Arts & Sciences Limited,Q10,7%,0%,0%,20%,73%,0,67%,93%,99%,15,16
10010308,Cambridge Arts & Sciences Limited,Q11,0%,0%,7%,27%,67%,0,67%,93%,99%,15,16
10010308,Cambridge Arts & Sciences Limited,Scale03,5%,0%,8%,28%,58%,0,59%,87%,97%,15,16
10010308,Cambridge Arts & Sciences Limited,Q12,0%,7%,7%,27%,60%,0,59%,87%,97%,15,16
10010308,Cambridge Arts & Sciences Limited,Q13,0%,0%,13%,27%,60%,0,59%,87%,97%,15,16
10010308,Cambridge Arts & Sciences Limited,Q14,0%,0%,21%,36%,43%,1,50%,79%,93%,14,16
10010308,Cambridge Arts & Sciences Limited,Scale04,0%,2%,13%,29%,56%,1,57%,84%,96%,15,16
10010308,Cambridge Arts & Sciences Limited,Q15,0%,20%,7%,33%,40%,0,45%,73%,90%,15,16
10010308,Cambridge Arts & Sciences Limited,Q16,7%,7%,13%,27%,47%,0,45%,73%,90%,15,16
10010308,Cambridge Arts & Sciences Limited,Q17,7%,13%,0%,40%,40%,0,52%,80%,94%,15,16
10010308,Cambridge Arts & Sciences Limited,Scale05,4%,13%,7%,33%,42%,0,48%,76%,91%,15,16
10010308,Cambridge Arts & Sciences Limited,Q18,13%,7%,7%,40%,33%,0,45%,73%,90%,15,16
10010308,Cambridge Arts & Sciences Limited,Q19,7%,7%,7%,47%,33%,0,52%,80%,94%,15,16
10010308,Cambridge Arts & Sciences Limited,Q20,7%,7%,20%,13%,53%,0,39%,67%,86%,15,16
10010308,Cambridge Arts & Sciences Limited,Scale06,9%,7%,11%,33%,40%,0,45%,73%,90%,15,16
10010308,Cambridge Arts & Sciences Limited,Q21,13%,0%,0%,27%,60%,0,59%,87%,97%,15,16
10010308,Cambridge Arts & Sciences Limited,Q22,0%,7%,20%,20%,53%,0,45%,73%,90%,15,16
10010308,Cambridge Arts & Sciences Limited,Scale07,7%,3%,10%,23%,57%,0,52%,80%,94%,15,16
10010308,Cambridge Arts & Sciences Limited,Q23,7%,0%,13%,27%,53%,0,52%,80%,94%,15,16
10010308,Cambridge Arts & Sciences Limited,Q24,13%,0%,7%,13%,67%,0,52%,80%,94%,15,16
10010308,Cambridge Arts & Sciences Limited,Q25,13%,0%,13%,40%,33%,0,45%,73%,90%,15,16
10010308,Cambridge Arts & Sciences Limited,Scale08,11%,0%,11%,27%,51%,0,50%,78%,93%,15,16
10010308,Cambridge Arts & Sciences Limited,Q26,14%,0%,29%,36%,21%,1,30%,57%,80%,14,16
10010308,Cambridge Arts & Sciences Limited,Q27,0%,14%,7%,43%,36%,1,50%,79%,93%,14,16
10001116,Cambridge Regional College,Q01,5%,0%,14%,52%,29%,0,58%,81%,93%,21,24
10001116,Cambridge Regional College,Q02,0%,10%,5%,76%,10%,0,63%,86%,96%,21,24
10001116,Cambridge Regional College,Q03,0%,5%,10%,67%,19%,0,63%,86%,96%,21,24
10001116,Cambridge Regional College,Q04,0%,10%,14%,48%,29%,0,53%,76%,90%,21,24
10001116,Cambridge Regional College,Scale01,1%,6%,11%,61%,21%,0,59%,82%,94%,21,24
10001116,Cambridge Regional College,Q05,10%,0%,10%,52%,29%,0,58%,81%,93%,21,24
10001116,Cambridge Regional College,Q06,5%,0%,14%,48%,33%,0,58%,81%,93%,21,24
10001116,Cambridge Regional College,Q07,0%,5%,5%,71%,19%,0,68%,90%,98%,21,24
10001116,Cambridge Regional College,Scale02,5%,2%,10%,57%,27%,0,61%,84%,95%,21,24
10001116,Cambridge Regional College,Q08,0%,5%,19%,52%,24%,0,53%,76%,90%,21,24
10001116,Cambridge Regional College,Q09,5%,5%,19%,48%,24%,0,48%,71%,87%,21,24
10001116,Cambridge Regional College,Q10,10%,5%,19%,43%,24%,0,43%,67%,84%,21,24
10001116,Cambridge Regional College,Q11,0%,19%,10%,33%,38%,0,48%,71%,87%,21,24
10001116,Cambridge Regional College,Scale03,4%,8%,17%,44%,27%,0,48%,71%,87%,21,24
10001116,Cambridge Regional College,Q12,0%,5%,10%,38%,48%,0,63%,86%,96%,21,24
10001116,Cambridge Regional College,Q13,5%,5%,5%,57%,29%,0,63%,86%,96%,21,24
10001116,Cambridge Regional College,Q14,0%,5%,20%,50%,25%,1,51%,75%,90%,20,24
10001116,Cambridge Regional College,Scale04,2%,6%,12%,48%,33%,1,58%,81%,93%,21,24
10001116,Cambridge Regional College,Q15,10%,5%,19%,52%,14%,0,43%,67%,84%,21,24
10001116,Cambridge Regional College,Q16,0%,5%,10%,57%,29%,0,63%,86%,96%,21,24
10001116,Cambridge Regional College,Q17,5%,14%,14%,33%,33%,0,43%,67%,84%,21,24
10001116,Cambridge Regional College,Scale05,5%,8%,14%,48%,25%,0,49%,73%,88%,21,24
10001116,Cambridge Regional College,Q18,14%,10%,10%,52%,14%,0,43%,67%,84%,21,24
10001116,Cambridge Regional College,Q19,11%,16%,37%,26%,11%,2,18%,37%,61%,19,24
10001116,Cambridge Regional College,Q20,10%,10%,24%,29%,29%,0,35%,57%,77%,21,24
10001116,Cambridge Regional College,Scale06,13%,12%,22%,35%,18%,2,31%,53%,74%,21,24
10001116,Cambridge Regional College,Q21,0%,5%,25%,50%,20%,1,46%,70%,87%,20,24
10001116,Cambridge Regional College,Q22,0%,0%,14%,48%,38%,0,63%,86%,96%,21,24
10001116,Cambridge Regional College,Scale07,0%,2%,21%,48%,29%,1,53%,76%,90%,21,24
10001116,Cambridge Regional College,Q23,0%,5%,14%,43%,38%,0,58%,81%,93%,21,24
10001116,Cambridge Regional College,Q24,0%,14%,19%,43%,24%,0,43%,67%,84%,21,24
10001116,Cambridge Regional College,Q25,5%,19%,33%,24%,19%,0,23%,43%,65%,21,24
10001116,Cambridge Regional College,Scale08,2%,13%,22%,37%,27%,0,40%,63%,82%,21,24
10001116,Cambridge Regional College,Q26,6%,6%,56%,28%,6%,3,15%,33%,59%,18,24
10001116,Cambridge Regional College,Q27,0%,14%,10%,62%,14%,0,53%,76%,90%,21,24
10032072,The Cambridge Theological Federation,Q01,0%,0%,4%,52%,44%,0,78%,96%,99%,25,41
10032072,The Cambridge Theological Federation,Q02,0%,0%,0%,48%,52%,0,84%,100%,100%,25,41
10032072,The Cambridge Theological Federation,Q03,0%,0%,8%,20%,72%,0,73%,92%,98%,25,41
10032072,The Cambridge Theological Federation,Q04,0%,4%,4%,44%,48%,0,73%,92%,98%,25,41
10032072,The Cambridge Theological Federation,Scale01,0%,1%,4%,41%,54%,0,77%,95%,99%,25,41
10032072,The Cambridge Theological Federation,Q05,0%,0%,4%,44%,52%,0,78%,96%,99%,25,41
10032072,The Cambridge Theological Federation,Q06,0%,0%,8%,40%,52%,0,73%,92%,98%,25,41
10032072,The Cambridge Theological Federation,Q07,0%,0%,0%,36%,64%,0,84%,100%,100%,25,41
10032072,The Cambridge Theological Federation,Scale02,0%,0%,4%,40%,56%,0,78%,96%,99%,25,41
10032072,The Cambridge Theological Federation,Q08,4%,0%,8%,56%,32%,0,68%,88%,96%,25,41
10032072,The Cambridge Theological Federation,Q09,0%,8%,8%,52%,32%,0,63%,84%,94%,25,41
10032072,The Cambridge Theological Federation,Q10,0%,16%,4%,48%,32%,0,59%,80%,92%,25,41
10032072,The Cambridge Theological Federation,Q11,0%,0%,12%,60%,28%,0,68%,88%,96%,25,41
10032072,The Cambridge Theological Federation,Scale03,1%,6%,8%,54%,31%,0,64%,85%,95%,25,41
10032072,The Cambridge Theological Federation,Q12,0%,4%,4%,32%,60%,0,73%,92%,98%,25,41
10032072,The Cambridge Theological Federation,Q13,0%,0%,20%,16%,64%,0,59%,80%,92%,25,41
10032072,The Cambridge Theological Federation,Q14,0%,9%,9%,30%,52%,2,60%,83%,94%,23,41
10032072,The Cambridge Theological Federation,Scale04,0%,4%,11%,26%,59%,2,64%,85%,95%,25,41
10032072,The Cambridge Theological Federation,Q15,0%,0%,16%,48%,36%,0,63%,84%,94%,25,41
10032072,The Cambridge Theological Federation,Q16,0%,4%,12%,36%,48%,0,63%,84%,94%,25,41
10032072,The Cambridge Theological Federation,Q17,0%,8%,0%,48%,44%,0,73%,92%,98%,25,41
10032072,The Cambridge Theological Federation,Scale05,0%,4%,9%,44%,43%,0,66%,87%,96%,25,41
10032072,The Cambridge Theological Federation,Q18,0%,4%,8%,58%,29%,1,67%,88%,96%,24,41
10032072,The Cambridge Theological Federation,Q19,8%,4%,8%,52%,28%,0,59%,80%,92%,25,41
10032072,The Cambridge Theological Federation,Q20,0%,0%,16%,48%,36%,0,63%,84%,94%,25,41
10032072,The Cambridge Theological Federation,Scale06,3%,3%,11%,52%,32%,1,63%,84%,94%,25,41
10032072,The Cambridge Theological Federation,Q21,4%,4%,12%,24%,56%,0,59%,80%,92%,25,41
10032072,The Cambridge Theological Federation,Q22,4%,4%,8%,16%,68%,0,63%,84%,94%,25,41
10032072,The Cambridge Theological Federation,Scale07,4%,4%,10%,20%,62%,0,61%,82%,93%,25,41
10032072,The Cambridge Theological Federation,Q23,4%,0%,0%,28%,68%,0,78%,96%,99%,25,41
10032072,The Cambridge Theological Federation,Q24,0%,4%,4%,24%,68%,0,73%,92%,98%,25,41
10032072,The Cambridge Theological Federation,Q25,4%,8%,24%,36%,28%,0,43%,64%,81%,25,41
10032072,The Cambridge Theological Federation,Scale08,3%,4%,9%,29%,55%,0,63%,84%,94%,25,41
10032072,The Cambridge Theological Federation,Q26,0%,0%,33%,40%,27%,10,39%,67%,86%,15,41
10032072,The Cambridge Theological Federation,Q27,0%,0%,4%,44%,52%,0,78%,96%,99%,25,41
10001143,Canterbury Christ Church University,Q01,2%,6%,11%,57%,23%,2,78%,80%,82%,1699,2511
10001143,Canterbury Christ Church University,Q02,2%,7%,15%,53%,23%,3,74%,76%,79%,1698,2511
10001143,Canterbury Christ Church University,Q03,3%,7%,12%,46%,32%,1,75%,78%,80%,1700,2511
10001143,Canterbury Christ Church University,Q04,4%,7%,14%,42%,34%,1,73%,75%,78%,1700,2511
10001143,Canterbury Christ Church University,Scale01,3%,7%,13%,49%,28%,7,75%,78%,80%,1700,2511
10001143,Canterbury Christ Church University,Q05,3%,7%,14%,45%,32%,2,75%,77%,79%,1699,2511
10001143,Canterbury Christ Church University,Q06,2%,5%,12%,46%,35%,2,79%,81%,83%,1699,2511
10001143,Canterbury Christ Church University,Q07,3%,9%,13%,42%,33%,4,73%,75%,78%,1697,2511
10001143,Canterbury Christ Church University,Scale02,2%,7%,13%,45%,33%,8,76%,78%,80%,1701,2511
10001143,Canterbury Christ Church University,Q08,5%,9%,15%,40%,32%,2,69%,71%,74%,1699,2511
10001143,Canterbury Christ Church University,Q09,5%,10%,17%,42%,25%,1,65%,67%,70%,1700,2511
10001143,Canterbury Christ Church University,Q10,6%,11%,14%,41%,29%,0,67%,69%,72%,1701,2511
10001143,Canterbury Christ Church University,Q11,4%,8%,14%,44%,30%,1,72%,74%,76%,1700,2511
10001143,Canterbury Christ Church University,Scale03,5%,10%,15%,42%,29%,4,68%,71%,73%,1701,2511
10001143,Canterbury Christ Church University,Q12,6%,9%,12%,36%,36%,1,70%,72%,75%,1700,2511
10001143,Canterbury Christ Church University,Q13,6%,12%,17%,40%,25%,2,63%,65%,68%,1699,2511
10001143,Canterbury Christ Church University,Q14,5%,10%,21%,38%,26%,39,62%,64%,67%,1662,2511
10001143,Canterbury Christ Church University,Scale04,6%,11%,17%,38%,29%,42,65%,67%,70%,1701,2511
10001143,Canterbury Christ Church University,Q15,16%,16%,21%,33%,14%,2,44%,46%,49%,1699,2511
10001143,Canterbury Christ Church University,Q16,8%,10%,17%,40%,25%,2,63%,65%,68%,1699,2511
10001143,Canterbury Christ Church University,Q17,10%,16%,17%,36%,21%,4,55%,57%,60%,1697,2511
10001143,Canterbury Christ Church University,Scale05,12%,14%,18%,36%,20%,8,54%,56%,59%,1701,2511
10001143,Canterbury Christ Church University,Q18,5%,8%,18%,43%,26%,30,67%,69%,72%,1671,2511
10001143,Canterbury Christ Church University,Q19,4%,7%,14%,41%,34%,28,73%,75%,77%,1673,2511
10001143,Canterbury Christ Church University,Q20,5%,8%,17%,42%,28%,58,68%,70%,73%,1643,2511
10001143,Canterbury Christ Church University,Scale06,4%,8%,16%,42%,29%,116,69%,71%,74%,1700,2511
