2019 NSS results split by teaching provider,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,%Agree,,,,,
UKPRN,Provider,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval - min,Actual value,Confidence interval - max,Response,Sample Size,Two years aggregate data?
10004075,London School of Theology,Q22,0%,15%,15%,23%,46%,2,48%,69%,85%,26,31,
10004075,London School of Theology,Scale07,2%,13%,16%,25%,45%,2,49%,70%,84%,28,31,
10004075,London School of Theology,Q23,0%,4%,4%,43%,50%,0,75%,93%,98%,28,31,
10004075,London School of Theology,Q24,4%,4%,11%,36%,46%,0,62%,82%,93%,28,31,
10004075,London School of Theology,Q25,7%,15%,26%,26%,26%,1,32%,52%,71%,27,31,
10004075,London School of Theology,Scale08,4%,7%,13%,35%,41%,1,56%,76%,89%,28,31,
10004075,London School of Theology,Q26,0%,0%,38%,38%,25%,4,41%,63%,80%,24,31,
10004075,London School of Theology,Q27,0%,7%,7%,46%,39%,0,66%,86%,95%,28,31,
10004078,London South Bank University,Q01,1%,4%,7%,54%,34%,0,86%,87%,89%,1979,2599,
10004078,London South Bank University,Q02,2%,6%,12%,48%,32%,1,78%,80%,82%,1978,2599,
10004078,London South Bank University,Q03,1%,5%,12%,43%,39%,2,80%,82%,84%,1977,2599,
10004078,London South Bank University,Q04,2%,5%,12%,37%,45%,3,80%,82%,84%,1976,2599,
10004078,London South Bank University,Scale01,2%,5%,11%,45%,37%,6,81%,83%,85%,1979,2599,
10004078,London South Bank University,Q05,2%,5%,10%,40%,43%,4,82%,83%,85%,1975,2599,
10004078,London South Bank University,Q06,1%,4%,9%,43%,43%,3,84%,86%,88%,1976,2599,
10004078,London South Bank University,Q07,2%,5%,10%,37%,46%,7,81%,83%,85%,1972,2599,
10004078,London South Bank University,Scale02,2%,4%,10%,40%,44%,14,82%,84%,86%,1979,2599,
10004078,London South Bank University,Q08,4%,7%,14%,38%,37%,2,73%,75%,77%,1977,2599,
10004078,London South Bank University,Q09,3%,7%,17%,42%,32%,2,71%,73%,75%,1977,2599,
10004078,London South Bank University,Q10,4%,8%,13%,39%,35%,1,72%,74%,76%,1978,2599,
10004078,London South Bank University,Q11,3%,8%,13%,41%,35%,5,73%,76%,78%,1974,2599,
10004078,London South Bank University,Scale03,4%,8%,14%,40%,35%,10,72%,75%,77%,1979,2599,
10004078,London South Bank University,Q12,3%,5%,8%,36%,48%,4,82%,84%,86%,1975,2599,
10004078,London South Bank University,Q13,3%,6%,12%,42%,38%,1,78%,80%,82%,1978,2599,
10004078,London South Bank University,Q14,3%,6%,15%,39%,37%,41,74%,76%,78%,1938,2599,
10004078,London South Bank University,Scale04,3%,6%,12%,39%,41%,46,78%,80%,82%,1979,2599,
10004078,London South Bank University,Q15,8%,11%,17%,38%,25%,2,61%,63%,65%,1977,2599,
10004078,London South Bank University,Q16,5%,7%,9%,40%,38%,3,77%,79%,81%,1976,2599,
10004078,London South Bank University,Q17,4%,8%,12%,41%,35%,13,73%,75%,77%,1966,2599,
10004078,London South Bank University,Scale05,6%,9%,13%,40%,33%,18,70%,72%,74%,1979,2599,
10004078,London South Bank University,Q18,3%,7%,11%,39%,40%,15,78%,80%,82%,1964,2599,
10004078,London South Bank University,Q19,2%,4%,8%,38%,48%,14,84%,86%,87%,1965,2599,
10004078,London South Bank University,Q20,2%,3%,8%,40%,47%,25,85%,87%,88%,1954,2599,
10004078,London South Bank University,Scale06,2%,5%,9%,39%,45%,54,82%,84%,86%,1977,2599,
10004078,London South Bank University,Q21,6%,8%,16%,34%,36%,15,68%,70%,73%,1964,2599,
10004078,London South Bank University,Q22,1%,3%,8%,42%,46%,13,86%,88%,89%,1966,2599,
10004078,London South Bank University,Scale07,3%,5%,12%,38%,41%,28,77%,79%,81%,1977,2599,
10004078,London South Bank University,Q23,1%,4%,11%,38%,46%,13,82%,84%,86%,1966,2599,
10004078,London South Bank University,Q24,3%,5%,13%,38%,41%,16,76%,79%,80%,1963,2599,
10004078,London South Bank University,Q25,4%,9%,21%,34%,31%,17,63%,65%,68%,1962,2599,
10004078,London South Bank University,Scale08,3%,6%,15%,36%,40%,46,74%,76%,78%,1970,2599,
10004078,London South Bank University,Q26,3%,6%,30%,34%,27%,124,58%,61%,63%,1855,2599,
10004078,London South Bank University,Q27,3%,5%,10%,41%,41%,13,80%,82%,84%,1966,2599,
10004078,London South Bank University,NHS1,6%,13%,13%,41%,27%,1,64%,69%,73%,470,659,
10004078,London South Bank University,NHS2,0%,1%,4%,33%,61%,1,91%,94%,96%,470,659,
10004078,London South Bank University,NHS3,3%,5%,11%,39%,42%,0,77%,81%,85%,471,659,
10004078,London South Bank University,NHS4,1%,2%,6%,44%,48%,2,88%,92%,94%,469,659,
10004078,London South Bank University,NHS5,2%,4%,8%,36%,49%,4,82%,85%,89%,467,659,
10004078,London South Bank University,NHS6,1%,3%,11%,38%,47%,0,81%,85%,88%,471,659,
10004078,London South Bank University,ScaleNHS,2%,5%,9%,39%,46%,8,80%,84%,88%,471,659,
10004079,London Studio Centre Limited,Q01,0%,2%,1%,51%,46%,0,90%,97%,99%,96,102,
10004079,London Studio Centre Limited,Q02,0%,3%,3%,43%,51%,0,86%,94%,97%,96,102,
10004079,London Studio Centre Limited,Q03,0%,3%,8%,40%,49%,0,80%,89%,94%,96,102,
10004079,London Studio Centre Limited,Q04,1%,1%,3%,34%,60%,0,87%,95%,98%,96,102,
10004079,London Studio Centre Limited,Scale01,0%,2%,4%,42%,52%,0,86%,93%,97%,96,102,
10004079,London Studio Centre Limited,Q05,1%,1%,3%,43%,52%,0,87%,95%,98%,96,102,
10004079,London Studio Centre Limited,Q06,0%,3%,4%,49%,44%,0,85%,93%,97%,96,102,
10004079,London Studio Centre Limited,Q07,0%,5%,3%,32%,59%,0,83%,92%,96%,96,102,
10004079,London Studio Centre Limited,Scale02,0%,3%,3%,41%,52%,0,85%,93%,97%,96,102,
10004079,London Studio Centre Limited,Q08,2%,3%,3%,45%,47%,0,83%,92%,96%,96,102,
10004079,London Studio Centre Limited,Q09,5%,9%,14%,40%,32%,0,61%,72%,81%,96,102,
10004079,London Studio Centre Limited,Q10,2%,8%,10%,52%,27%,0,69%,79%,87%,96,102,
10004079,London Studio Centre Limited,Q11,1%,5%,2%,46%,46%,0,83%,92%,96%,96,102,
10004079,London Studio Centre Limited,Scale03,3%,7%,7%,46%,38%,0,74%,84%,90%,96,102,
10004079,London Studio Centre Limited,Q12,0%,5%,3%,38%,54%,0,83%,92%,96%,96,102,
10004079,London Studio Centre Limited,Q13,1%,3%,4%,47%,45%,0,83%,92%,96%,96,102,
10004079,London Studio Centre Limited,Q14,0%,5%,2%,47%,46%,0,85%,93%,97%,96,102,
10004079,London Studio Centre Limited,Scale04,0%,5%,3%,44%,48%,0,84%,92%,96%,96,102,
10004079,London Studio Centre Limited,Q15,8%,9%,13%,41%,29%,0,59%,70%,79%,96,102,
10004079,London Studio Centre Limited,Q16,1%,5%,4%,50%,40%,0,81%,90%,95%,96,102,
10004079,London Studio Centre Limited,Q17,1%,7%,7%,40%,45%,0,75%,84%,91%,96,102,
10004079,London Studio Centre Limited,Scale05,3%,7%,8%,43%,38%,0,71%,81%,88%,96,102,
10004079,London Studio Centre Limited,Q18,1%,2%,5%,32%,59%,0,83%,92%,96%,96,102,
10004079,London Studio Centre Limited,Q19,0%,3%,6%,31%,59%,0,82%,91%,95%,96,102,
10004079,London Studio Centre Limited,Q20,0%,4%,3%,41%,52%,0,85%,93%,97%,96,102,
10004079,London Studio Centre Limited,Scale06,0%,3%,5%,35%,57%,0,83%,92%,96%,96,102,
10004079,London Studio Centre Limited,Q21,1%,6%,5%,22%,66%,0,78%,88%,93%,96,102,
10004079,London Studio Centre Limited,Q22,0%,0%,4%,31%,65%,0,89%,96%,99%,96,102,
10004079,London Studio Centre Limited,Scale07,1%,3%,5%,27%,65%,0,83%,92%,96%,96,102,
10004079,London Studio Centre Limited,Q23,0%,9%,5%,31%,55%,1,76%,85%,91%,95,102,
10004079,London Studio Centre Limited,Q24,2%,7%,10%,42%,39%,0,70%,80%,88%,96,102,
10004079,London Studio Centre Limited,Q25,0%,11%,15%,35%,40%,1,64%,75%,83%,95,102,
10004079,London Studio Centre Limited,Scale08,1%,9%,10%,36%,44%,2,70%,80%,88%,96,102,
10004079,London Studio Centre Limited,Q26,2%,1%,13%,42%,43%,0,75%,84%,91%,96,102,
10004079,London Studio Centre Limited,Q27,1%,1%,3%,40%,55%,0,87%,95%,98%,96,102,
10004112,Loughborough College,Q01,0%,0%,5%,41%,55%,0,86%,95%,99%,64,78,
10004112,Loughborough College,Q02,0%,2%,8%,33%,58%,0,80%,91%,96%,64,78,
10004112,Loughborough College,Q03,0%,2%,6%,41%,52%,0,82%,92%,97%,64,78,
10004112,Loughborough College,Q04,0%,0%,13%,28%,59%,0,76%,88%,94%,64,78,
10004112,Loughborough College,Scale01,0%,1%,8%,36%,56%,0,81%,91%,96%,64,78,
10004112,Loughborough College,Q05,0%,0%,11%,38%,52%,0,78%,89%,95%,64,78,
10004112,Loughborough College,Q06,0%,0%,8%,35%,57%,1,81%,92%,97%,63,78,
10004112,Loughborough College,Q07,2%,0%,8%,37%,53%,2,79%,90%,96%,62,78,
10004112,Loughborough College,Scale02,1%,0%,9%,37%,53%,3,79%,90%,96%,64,78,
10004112,Loughborough College,Q08,2%,6%,8%,30%,55%,0,72%,84%,92%,64,78,
10004112,Loughborough College,Q09,0%,5%,8%,20%,67%,0,76%,88%,94%,64,78,
10004112,Loughborough College,Q10,2%,6%,8%,24%,60%,1,72%,84%,92%,63,78,
10004112,Loughborough College,Q11,0%,6%,11%,20%,63%,0,70%,83%,91%,64,78,
10004112,Loughborough College,Scale03,1%,6%,9%,24%,61%,1,73%,85%,92%,64,78,
10004112,Loughborough College,Q12,2%,0%,2%,17%,80%,0,88%,97%,99%,64,78,
10004112,Loughborough College,Q13,2%,2%,8%,31%,58%,0,78%,89%,95%,64,78,
10004112,Loughborough College,Q14,2%,0%,10%,35%,53%,4,76%,88%,95%,60,78,
10004112,Loughborough College,Scale04,2%,1%,6%,28%,63%,4,81%,92%,97%,64,78,
10004112,Loughborough College,Q15,3%,6%,11%,29%,51%,1,66%,79%,88%,63,78,
10004112,Loughborough College,Q16,2%,3%,8%,25%,63%,0,76%,88%,94%,64,78,
10004112,Loughborough College,Q17,2%,3%,11%,23%,61%,2,71%,84%,92%,62,78,
10004112,Loughborough College,Scale05,2%,4%,10%,26%,58%,3,71%,83%,91%,64,78,
10004112,Loughborough College,Q18,0%,10%,2%,38%,51%,1,77%,89%,95%,63,78,
10004112,Loughborough College,Q19,2%,8%,11%,27%,52%,1,66%,79%,88%,63,78,
10004112,Loughborough College,Q20,0%,5%,6%,32%,57%,1,77%,89%,95%,63,78,
10004112,Loughborough College,Scale06,1%,7%,7%,32%,53%,3,73%,85%,92%,64,78,
10004112,Loughborough College,Q21,2%,7%,7%,27%,58%,5,72%,85%,92%,59,78,
10004112,Loughborough College,Q22,0%,2%,7%,27%,64%,5,80%,92%,97%,59,78,
10004112,Loughborough College,Scale07,1%,4%,7%,27%,61%,10,76%,88%,95%,59,78,
10004112,Loughborough College,Q23,2%,5%,13%,21%,60%,1,68%,81%,89%,63,78,
10004112,Loughborough College,Q24,2%,6%,10%,22%,60%,1,70%,83%,91%,63,78,
10004112,Loughborough College,Q25,6%,6%,13%,24%,51%,1,61%,75%,85%,63,78,
10004112,Loughborough College,Scale08,3%,7%,11%,22%,57%,3,66%,79%,88%,64,78,
10004112,Loughborough College,Q26,5%,2%,23%,21%,49%,7,56%,70%,81%,57,78,
10004112,Loughborough College,Q27,0%,3%,8%,39%,50%,0,78%,89%,95%,64,78,
10004113,Loughborough University,Q01,1%,3%,5%,62%,30%,0,90%,92%,93%,2649,3382,
10004113,Loughborough University,Q02,1%,4%,10%,54%,30%,1,83%,84%,86%,2648,3382,
10004113,Loughborough University,Q03,1%,3%,7%,39%,50%,0,88%,90%,91%,2649,3382,
10004113,Loughborough University,Q04,1%,4%,10%,39%,46%,0,83%,85%,86%,2649,3382,
10004113,Loughborough University,Scale01,1%,3%,8%,49%,39%,1,86%,88%,89%,2649,3382,
10004113,Loughborough University,Q05,1%,3%,8%,40%,48%,1,86%,88%,89%,2648,3382,
10004113,Loughborough University,Q06,1%,3%,7%,40%,50%,2,88%,89%,90%,2647,3382,
10004113,Loughborough University,Q07,1%,5%,10%,43%,41%,3,82%,84%,85%,2646,3382,
10004113,Loughborough University,Scale02,1%,3%,9%,41%,46%,6,86%,87%,88%,2649,3382,
10004113,Loughborough University,Q08,3%,7%,14%,41%,36%,0,75%,77%,78%,2649,3382,
10004113,Loughborough University,Q09,3%,6%,15%,47%,29%,0,74%,76%,78%,2649,3382,
10004113,Loughborough University,Q10,2%,8%,15%,43%,32%,2,73%,75%,77%,2647,3382,
10004113,Loughborough University,Q11,3%,10%,17%,44%,27%,4,69%,71%,72%,2645,3382,
10004113,Loughborough University,Scale03,3%,7%,15%,44%,31%,6,73%,75%,76%,2649,3382,
10004113,Loughborough University,Q12,1%,2%,5%,36%,56%,7,91%,92%,93%,2642,3382,
10004113,Loughborough University,Q13,2%,4%,10%,47%,38%,1,83%,84%,86%,2648,3382,
10004113,Loughborough University,Q14,2%,5%,16%,41%,36%,44,75%,77%,79%,2605,3382,
10004113,Loughborough University,Scale04,1%,4%,10%,41%,43%,52,83%,85%,86%,2649,3382,
10004113,Loughborough University,Q15,2%,5%,9%,46%,38%,1,83%,84%,86%,2648,3382,
10004113,Loughborough University,Q16,1%,4%,7%,37%,50%,0,85%,87%,88%,2649,3382,
10004113,Loughborough University,Q17,1%,4%,9%,39%,47%,29,85%,86%,88%,2620,3382,
10004113,Loughborough University,Scale05,2%,4%,8%,41%,45%,30,84%,86%,87%,2649,3382,
10004113,Loughborough University,Q18,0%,2%,6%,35%,58%,7,91%,92%,93%,2642,3382,
10004113,Loughborough University,Q19,1%,2%,7%,32%,59%,47,90%,91%,92%,2602,3382,
10004113,Loughborough University,Q20,1%,3%,6%,38%,52%,36,89%,90%,91%,2613,3382,
10004113,Loughborough University,Scale06,1%,2%,6%,35%,56%,90,90%,91%,92%,2648,3382,
10004113,Loughborough University,Q21,3%,6%,14%,35%,41%,6,74%,76%,78%,2643,3382,
10004113,Loughborough University,Q22,1%,3%,6%,38%,52%,11,89%,90%,91%,2638,3382,
10004113,Loughborough University,Scale07,2%,5%,10%,37%,46%,17,82%,83%,85%,2646,3382,
10004113,Loughborough University,Q23,1%,2%,6%,36%,56%,10,90%,91%,92%,2639,3382,
10004113,Loughborough University,Q24,2%,5%,12%,38%,43%,18,80%,81%,83%,2631,3382,
10004113,Loughborough University,Q25,3%,8%,19%,36%,35%,23,69%,71%,73%,2626,3382,
10004113,Loughborough University,Scale08,2%,5%,12%,37%,45%,51,80%,81%,83%,2641,3382,
10004113,Loughborough University,Q26,2%,5%,22%,38%,33%,77,69%,71%,73%,2572,3382,
10004113,Loughborough University,Q27,1%,3%,5%,39%,52%,14,89%,90%,92%,2635,3382,
10023139,LTE Group,Q01,2%,4%,7%,42%,45%,0,82%,87%,91%,273,371,
10023139,LTE Group,Q02,3%,3%,8%,40%,45%,0,80%,85%,89%,273,371,
10023139,LTE Group,Q03,2%,7%,10%,37%,45%,2,76%,82%,86%,271,371,
10023139,LTE Group,Q04,4%,5%,7%,37%,47%,0,78%,84%,88%,273,371,
10023139,LTE Group,Scale01,3%,5%,8%,39%,45%,2,79%,84%,89%,273,371,
10023139,LTE Group,Q05,3%,4%,8%,38%,47%,0,81%,86%,90%,273,371,
10023139,LTE Group,Q06,2%,4%,10%,37%,48%,0,79%,84%,88%,273,371,
10023139,LTE Group,Q07,3%,4%,8%,39%,46%,0,80%,85%,89%,273,371,
10023139,LTE Group,Scale02,2%,4%,9%,38%,47%,0,80%,85%,89%,273,371,
10023139,LTE Group,Q08,5%,7%,10%,34%,45%,0,73%,79%,84%,273,371,
10023139,LTE Group,Q09,4%,5%,11%,38%,42%,4,74%,80%,84%,269,371,
10023139,LTE Group,Q10,4%,8%,12%,38%,38%,7,69%,76%,81%,266,371,
10023139,LTE Group,Q11,3%,4%,15%,33%,45%,1,72%,78%,83%,272,371,
10023139,LTE Group,Scale03,4%,6%,12%,35%,42%,12,72%,78%,83%,273,371,
10023139,LTE Group,Q12,2%,6%,8%,36%,47%,1,78%,83%,87%,272,371,
10023139,LTE Group,Q13,4%,6%,7%,44%,39%,1,78%,83%,87%,272,371,
10023139,LTE Group,Q14,3%,3%,12%,41%,41%,0,76%,82%,86%,273,371,
10023139,LTE Group,Scale04,3%,5%,9%,40%,42%,2,77%,83%,87%,273,371,
10023139,LTE Group,Q15,11%,11%,14%,33%,31%,0,58%,64%,70%,273,371,
10023139,LTE Group,Q16,4%,4%,9%,42%,42%,1,78%,84%,88%,272,371,
10023139,LTE Group,Q17,6%,8%,15%,34%,37%,6,66%,72%,77%,267,371,
10023139,LTE Group,Scale05,7%,8%,12%,37%,37%,7,67%,73%,79%,273,371,
10023139,LTE Group,Q18,7%,11%,12%,35%,36%,2,64%,70%,76%,271,371,
10023139,LTE Group,Q19,6%,4%,6%,38%,47%,1,80%,85%,89%,272,371,
10023139,LTE Group,Q20,3%,6%,7%,41%,44%,1,79%,85%,89%,272,371,
10023139,LTE Group,Scale06,5%,7%,8%,38%,42%,4,74%,80%,85%,273,371,
10023139,LTE Group,Q21,4%,6%,13%,32%,45%,1,71%,77%,82%,272,371,
10023139,LTE Group,Q22,2%,2%,8%,36%,51%,0,83%,88%,91%,273,371,
10023139,LTE Group,Scale07,3%,4%,11%,34%,48%,1,77%,82%,87%,273,371,
10023139,LTE Group,Q23,2%,3%,13%,37%,45%,1,77%,82%,87%,272,371,
10023139,LTE Group,Q24,5%,5%,12%,37%,41%,1,72%,78%,83%,272,371,
10023139,LTE Group,Q25,6%,8%,16%,38%,33%,3,64%,71%,76%,270,371,
10023139,LTE Group,Scale08,4%,5%,13%,37%,40%,5,71%,77%,82%,272,371,
10023139,LTE Group,Q26,5%,5%,24%,34%,32%,10,59%,66%,72%,263,371,
10023139,LTE Group,Q27,4%,8%,7%,38%,43%,1,75%,81%,86%,272,371,
10009612,Luther King House Educational Trust,Q01,0%,0%,0%,27%,73%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q02,0%,0%,0%,55%,45%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q03,0%,0%,0%,27%,73%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q04,0%,9%,9%,27%,55%,0,49%,82%,95%,11,11,
10009612,Luther King House Educational Trust,Scale01,0%,2%,2%,34%,61%,0,64%,95%,100%,11,11,
10009612,Luther King House Educational Trust,Q05,0%,0%,0%,18%,82%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q06,0%,0%,0%,18%,82%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q07,0%,0%,0%,20%,80%,1,68%,100%,100%,10,11,
10009612,Luther King House Educational Trust,Scale02,0%,0%,0%,18%,82%,1,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q08,0%,0%,0%,45%,55%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q09,0%,0%,0%,64%,36%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q10,0%,0%,9%,36%,55%,0,59%,91%,99%,11,11,
10009612,Luther King House Educational Trust,Q11,0%,0%,0%,18%,82%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Scale03,0%,0%,2%,41%,57%,0,67%,98%,100%,11,11,
10009612,Luther King House Educational Trust,Q12,0%,0%,0%,18%,82%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q13,0%,9%,0%,55%,36%,0,59%,91%,99%,11,11,
10009612,Luther King House Educational Trust,Q14,0%,0%,0%,45%,55%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Scale04,0%,3%,0%,39%,58%,0,66%,97%,100%,11,11,
10009612,Luther King House Educational Trust,Q15,0%,0%,0%,27%,73%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q16,0%,0%,0%,27%,73%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q17,0%,0%,0%,18%,82%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Scale05,0%,0%,0%,24%,76%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q18,0%,0%,0%,36%,64%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q19,0%,0%,0%,9%,91%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q20,0%,0%,9%,27%,64%,0,59%,91%,99%,11,11,
10009612,Luther King House Educational Trust,Scale06,0%,0%,3%,24%,73%,0,66%,97%,100%,11,11,
10009612,Luther King House Educational Trust,Q21,0%,0%,0%,36%,64%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q22,0%,0%,0%,9%,91%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Scale07,0%,0%,0%,23%,77%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q23,0%,0%,0%,18%,82%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q24,0%,0%,0%,18%,82%,0,70%,100%,100%,11,11,
10009612,Luther King House Educational Trust,Q25,0%,0%,9%,45%,45%,0,59%,91%,99%,11,11,
10009612,Luther King House Educational Trust,Scale08,0%,0%,3%,27%,70%,0,66%,97%,100%,11,11,
10009612,Luther King House Educational Trust,Q26,0%,0%,30%,30%,40%,1,37%,70%,90%,10,11,
10009612,Luther King House Educational Trust,Q27,0%,0%,0%,9%,91%,0,70%,100%,100%,11,11,
10007798,The University of Manchester,Q01,1%,4%,7%,65%,23%,3,87%,88%,89%,4703,7406,
10007798,The University of Manchester,Q02,1%,6%,14%,56%,23%,11,77%,79%,80%,4695,7406,
10007798,The University of Manchester,Q03,1%,3%,8%,43%,45%,4,86%,87%,88%,4702,7406,
10007798,The University of Manchester,Q04,2%,6%,13%,41%,37%,4,77%,78%,80%,4702,7406,
10007798,The University of Manchester,Scale01,1%,5%,11%,51%,32%,22,82%,83%,84%,4706,7406,
10007798,The University of Manchester,Q05,2%,5%,10%,43%,40%,4,82%,83%,84%,4702,7406,
10007798,The University of Manchester,Q06,2%,5%,10%,43%,40%,3,82%,83%,85%,4703,7406,
10007798,The University of Manchester,Q07,2%,7%,13%,42%,35%,8,76%,77%,78%,4698,7406,
10007798,The University of Manchester,Scale02,2%,6%,11%,43%,38%,15,80%,81%,82%,4706,7406,
10007798,The University of Manchester,Q08,5%,12%,17%,40%,26%,8,65%,66%,68%,4698,7406,
10007798,The University of Manchester,Q09,4%,9%,17%,48%,22%,10,68%,70%,71%,4696,7406,
10007798,The University of Manchester,Q10,4%,11%,15%,44%,27%,3,69%,71%,72%,4703,7406,
10007798,The University of Manchester,Q11,4%,11%,17%,45%,22%,7,66%,67%,69%,4699,7406,
10007798,The University of Manchester,Scale03,4%,11%,17%,44%,24%,28,67%,68%,70%,4705,7406,
10007798,The University of Manchester,Q12,2%,4%,7%,41%,46%,10,86%,87%,88%,4696,7406,
10007798,The University of Manchester,Q13,4%,8%,14%,45%,29%,2,73%,74%,76%,4704,7406,
10007798,The University of Manchester,Q14,4%,9%,19%,40%,28%,90,67%,68%,70%,4616,7406,
10007798,The University of Manchester,Scale04,3%,7%,13%,42%,34%,102,75%,77%,78%,4706,7406,
10007798,The University of Manchester,Q15,6%,9%,15%,46%,24%,2,68%,70%,71%,4704,7406,
10007798,The University of Manchester,Q16,3%,7%,11%,44%,35%,5,78%,79%,80%,4701,7406,
10007798,The University of Manchester,Q17,4%,7%,12%,43%,34%,37,76%,77%,79%,4669,7406,
10007798,The University of Manchester,Scale05,4%,8%,13%,44%,31%,44,74%,75%,77%,4706,7406,
10007798,The University of Manchester,Q18,1%,3%,10%,41%,44%,19,84%,85%,86%,4687,7406,
10007798,The University of Manchester,Q19,1%,3%,7%,35%,54%,52,88%,89%,90%,4654,7406,
10007798,The University of Manchester,Q20,1%,3%,7%,42%,48%,66,88%,89%,90%,4640,7406,
10007798,The University of Manchester,Scale06,1%,3%,8%,39%,48%,137,87%,88%,89%,4706,7406,
10007798,The University of Manchester,Q21,6%,11%,18%,38%,28%,12,64%,66%,67%,4694,7406,
10007798,The University of Manchester,Q22,2%,6%,10%,42%,40%,25,81%,82%,83%,4681,7406,
10007798,The University of Manchester,Scale07,4%,8%,14%,40%,34%,37,72%,74%,75%,4703,7406,
10007798,The University of Manchester,Q23,2%,4%,7%,41%,46%,14,86%,87%,88%,4692,7406,
10007798,The University of Manchester,Q24,4%,8%,15%,40%,33%,26,72%,73%,74%,4680,7406,
10007798,The University of Manchester,Q25,6%,13%,26%,33%,22%,42,54%,55%,57%,4664,7406,
10007798,The University of Manchester,Scale08,4%,8%,16%,38%,34%,82,71%,72%,73%,4695,7406,
10007798,The University of Manchester,Q26,7%,11%,35%,31%,16%,205,45%,47%,48%,4501,7406,
10007798,The University of Manchester,Q27,2%,6%,8%,46%,37%,24,82%,84%,85%,4682,7406,
10007798,The University of Manchester,NHS1,4%,11%,6%,44%,35%,0,73%,79%,84%,286,437,
10007798,The University of Manchester,NHS2,2%,2%,4%,33%,59%,0,88%,92%,95%,286,437,
10007798,The University of Manchester,NHS3,1%,7%,8%,46%,38%,0,79%,84%,88%,286,437,
10007798,The University of Manchester,NHS4,0%,2%,7%,42%,48%,0,85%,90%,93%,286,437,
10007798,The University of Manchester,NHS5,0%,7%,7%,44%,42%,0,81%,86%,90%,286,437,
10007798,The University of Manchester,NHS6,1%,5%,7%,44%,42%,0,81%,86%,90%,286,437,
10007798,The University of Manchester,ScaleNHS,2%,6%,7%,42%,44%,0,81%,86%,90%,286,437,
10004180,Manchester Metropolitan University,Q01,1%,3%,7%,62%,28%,1,89%,90%,91%,5219,6931,
10004180,Manchester Metropolitan University,Q02,1%,5%,12%,53%,28%,11,80%,81%,82%,5209,6931,
10004180,Manchester Metropolitan University,Q03,1%,5%,12%,45%,37%,3,81%,82%,83%,5217,6931,
10004180,Manchester Metropolitan University,Q04,2%,6%,13%,40%,40%,1,79%,80%,81%,5219,6931,
10004180,Manchester Metropolitan University,Scale01,1%,5%,11%,50%,33%,16,82%,83%,84%,5220,6931,
10004180,Manchester Metropolitan University,Q05,1%,4%,11%,43%,40%,2,82%,83%,84%,5218,6931,
10004180,Manchester Metropolitan University,Q06,1%,4%,11%,44%,40%,7,83%,84%,86%,5213,6931,
10004180,Manchester Metropolitan University,Q07,2%,6%,12%,43%,38%,9,80%,81%,82%,5211,6931,
10004180,Manchester Metropolitan University,Scale02,1%,5%,11%,43%,40%,18,82%,83%,84%,5220,6931,
10004180,Manchester Metropolitan University,Q08,3%,8%,15%,41%,33%,3,72%,74%,75%,5217,6931,
10004180,Manchester Metropolitan University,Q09,3%,7%,16%,45%,28%,9,72%,73%,74%,5211,6931,
10004180,Manchester Metropolitan University,Q10,3%,7%,12%,41%,37%,14,77%,78%,79%,5206,6931,
10004180,Manchester Metropolitan University,Q11,3%,8%,14%,43%,32%,14,74%,75%,76%,5206,6931,
10004180,Manchester Metropolitan University,Scale03,3%,8%,14%,43%,32%,40,74%,75%,76%,5219,6931,
10004180,Manchester Metropolitan University,Q12,2%,4%,7%,39%,48%,9,86%,87%,88%,5211,6931,
10004180,Manchester Metropolitan University,Q13,2%,6%,12%,46%,35%,6,79%,80%,82%,5214,6931,
10004180,Manchester Metropolitan University,Q14,2%,6%,15%,43%,35%,55,76%,78%,79%,5165,6931,
